plantedtiming,location,year,plot,block,Term.Win,cc termination,herbicide,date,ccbiogm2,ccbiokgha,DateHarvested,Yield(bu/ac),yield kgha,
lateplanted,top,2023,101,1,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,50.23,3378,
lateplanted,top,2023,102,1,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,54.21,3646,
lateplanted,top,2023,103,1,21DAP,14DPP,Ctl,4/24/2023,116,1160,16-Nov,43.73,2941,
lateplanted,top,2023,104,1,21DAP,14DPP,Residual,4/24/2023,50,500,16-Nov,46.81,3148,
lateplanted,top,2023,105,1,21DAP,1DAP,Ctl,4/24/2023,38,380,16-Nov,42.84,2881,
lateplanted,top,2023,106,1,21DAP,1DAP,Residual,4/24/2023,35,350,16-Nov,40.93,2753,
lateplanted,top,2023,201,2,21DAP,1DAP,Ctl,4/24/2023,43,430,16-Nov,56.99,3833,
lateplanted,top,2023,202,2,21DAP,1DAP,Residual,4/24/2023,229,2290,16-Nov,61.31,4123,
lateplanted,top,2023,203,2,21DAP,14DPP,Ctl,4/24/2023,69,690,16-Nov,53.45,3595,
lateplanted,top,2023,204,2,21DAP,14DPP,Residual,4/24/2023,38,380,16-Nov,55.61,3740,
lateplanted,top,2023,205,2,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,60.23,4050,
lateplanted,top,2023,206,2,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,49.59,3335,
lateplanted,top,2023,301,3,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,57.52,3868,
lateplanted,top,2023,302,3,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,48.6,3268,
lateplanted,top,2023,303,3,21DAP,1DAP,Residual,4/24/2023,75,750,16-Nov,49.96,3360,
lateplanted,top,2023,304,3,21DAP,1DAP,Ctl,4/24/2023,61,610,16-Nov,51.65,3473,
lateplanted,top,2023,305,3,21DAP,14DPP,Residual,4/24/2023,191,1910,16-Nov,52.69,3543,
lateplanted,top,2023,306,3,21DAP,14DPP,Ctl,4/24/2023,76,760,16-Nov,45.14,3036,
lateplanted,top,2023,401,4,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,55.84,3755,
lateplanted,top,2023,402,4,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,52.4,3524,
lateplanted,top,2023,403,4,21DAP,14DPP,Ctl,4/24/2023,56,560,16-Nov,51.7,3477,
lateplanted,top,2023,404,4,21DAP,14DPP,Residual,4/24/2023,75,750,16-Nov,50.28,3381,
lateplanted,top,2023,405,4,21DAP,1DAP,Residual,4/24/2023,259,2590,16-Nov,50.51,3397,
lateplanted,top,2023,406,4,21DAP,1DAP,Ctl,4/24/2023,77,770,16-Nov,40.68,2736,
lateplanted,top,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
